Территория/Регион,Health,Housing Quality,Leisure Time,Life,Living Condition,Professional Wellbeing,Financial Situation
Акмолинская область,4,7,8,9,9,89,10
Восточно-Казахстанская область,4,7,8,9,10,9,9
Северо-Казахстанская область,4,7,8,9,10,10,8
Мангистауская область,4,7,8,10,3,8,8
г. Алматы,4,7,8,10,4,7,5
Туркестанская область,4,7,8,10,4,7,10
Костанайская область,4,7,8,10,5,5,9
Кызылординская область,4,7,8,10,5,10,5
г. Алматы,4,7,8,10,5,89,6
Павлодарская область,4,7,8,10,6,6,5
Западно - Казахстанская область,4,7,8,10,6,8,8
Мангистауская область,4,7,8,10,6,9,4
Акмолинская область,4,7,8,10,7,8,10
Акмолинская область,4,7,8,10,7,10,5
г. Алматы,4,7,8,10,7,89,10
Северо-Казахстанская область,4,7,8,10,8,8,5
Кызылординская область,4,7,8,10,8,8,6
Актюбинская область,4,7,8,10,8,10,10
Абайская область,4,7,8,10,8,10,89
Мангистауская область,4,7,8,10,8,89,10
Актюбинская область,4,7,8,10,8,89,89
Карагандинская область,4,7,8,10,9,4,89
г. Шымкент,4,7,8,10,9,8,10
Мангистауская область,4,7,8,10,9,9,9
Северо-Казахстанская область,4,7,8,10,9,89,8
Павлодарская область,4,7,8,10,9,89,10
Карагандинская область,4,7,8,10,10,6,8
Жамбылская область,4,7,8,10,10,9,7
Мангистауская область,4,7,9,5,6,8,5
Кызылординская область,4,7,9,5,7,10,4
Алматинская область,4,7,9,5,7,89,7
г. Алматы,4,7,9,5,10,89,7
Мангистауская область,4,7,9,6,10,7,7
Акмолинская область,4,7,9,7,4,8,8
Костанайская область,4,7,9,7,4,89,8
Кызылординская область,4,7,9,7,5,8,6
Акмолинская область,4,7,9,7,5,8,9
Западно - Казахстанская область,4,7,9,7,5,10,7
Западно - Казахстанская область,4,7,9,7,6,6,8
Костанайская область,4,7,9,7,6,7,8
Акмолинская область,4,7,9,7,6,7,10
Атырауская область,4,7,9,7,6,8,5
Алматинская область,4,7,9,7,6,9,9
Актюбинская область,4,7,9,7,6,89,7
Западно - Казахстанская область,4,7,9,7,6,89,7
Кызылординская область,4,7,9,7,7,7,7
Костанайская область,4,7,9,7,7,7,8
Жамбылская область,4,7,9,7,7,8,9
Павлодарская область,4,7,9,7,7,8,9
Актюбинская область,4,7,9,7,7,9,8
Восточно-Казахстанская область,4,7,9,7,7,10,5
г. Астана,4,7,9,7,7,10,7
Актюбинская область,4,7,9,7,7,89,5
Атырауская область,4,7,9,7,8,6,7
Восточно-Казахстанская область,4,7,9,7,8,8,5
Кызылординская область,4,7,9,7,8,8,7
Костанайская область,4,7,9,7,8,9,6
Западно - Казахстанская область,4,7,9,7,8,9,9
Костанайская область,4,7,9,7,8,89,7
Алматинская область,4,7,9,7,9,7,8
Восточно-Казахстанская область,4,7,9,7,9,9,6
Алматинская область,4,7,9,7,9,89,8
Алматинская область,4,7,9,7,9,89,9
г. Шымкент,4,7,9,8,6,8,5
Западно - Казахстанская область,4,7,9,8,6,89,7
г. Шымкент,4,7,9,8,7,5,4
Восточно-Казахстанская область,4,7,9,8,7,5,6
Мангистауская область,4,7,9,8,7,7,5
г. Шымкент,4,7,9,8,7,9,5
Костанайская область,4,7,9,8,7,9,89
Жамбылская область,4,7,9,8,7,10,4
г. Алматы,4,7,9,8,8,7,9
Карагандинская область,4,7,9,8,8,9,8
г. Астана,4,7,9,8,8,89,4
Акмолинская область,4,7,9,8,9,6,7
Акмолинская область,4,7,9,9,1,6,6
Атырауская область,4,7,9,9,5,7,9
Восточно-Казахстанская область,4,7,9,9,6,9,6
Мангистауская область,4,7,9,9,6,10,8
Мангистауская область,4,7,9,9,7,7,9
Северо-Казахстанская область,4,7,9,9,7,9,9
г. Алматы,4,7,9,9,7,10,9
Жамбылская область,4,7,9,9,8,8,7
Западно - Казахстанская область,4,7,9,9,8,9,6
Костанайская область,4,7,9,9,8,10,8
Северо-Казахстанская область,4,7,9,9,8,89,9
Алматинская область,4,7,9,9,9,7,5
Акмолинская область,4,7,9,9,9,8,7
Костанайская область,4,7,9,9,9,8,8
Атырауская область,4,7,9,9,9,10,7
Карагандинская область,4,7,9,9,10,6,4
Акмолинская область,4,7,9,10,6,9,7
Алматинская область,4,7,9,10,7,8,6
Атырауская область,4,7,9,10,7,8,8
г. Шымкент,4,7,9,10,7,9,10
Восточно-Казахстанская область,4,7,9,10,7,10,6
Костанайская область,4,7,9,10,8,7,9
Мангистауская область,4,7,9,10,8,10,7
Акмолинская область,4,7,9,10,9,7,5
Карагандинская область,4,7,9,10,9,10,8
Кызылординская область,4,7,9,10,9,10,9
г. Астана,4,7,9,10,9,89,8
Актюбинская область,4,7,9,10,10,6,4
Павлодарская область,4,7,10,5,7,89,89
Восточно-Казахстанская область,4,7,10,5,9,8,7
Алматинская область,4,7,10,6,4,89,5
Акмолинская область,4,7,10,6,5,89,9
г. Алматы,4,7,10,6,6,6,89
Костанайская область,4,7,10,6,6,7,5
Актюбинская область,4,7,10,6,7,6,4
Акмолинская область,4,7,10,6,7,7,7
Карагандинская область,4,7,10,6,7,7,8
Павлодарская область,4,7,10,6,7,8,8
Мангистауская область,4,7,10,6,7,9,6
Акмолинская область,4,7,10,6,7,89,7
Костанайская область,4,7,10,6,10,6,5
г. Астана,4,7,10,6,10,9,4
Акмолинская область,4,7,10,6,10,10,6
Кызылординская область,4,7,10,7,5,6,6
Акмолинская область,4,7,10,7,5,89,4
Жамбылская область,4,7,10,7,5,89,7
г. Шымкент,4,7,10,7,5,89,8
Карагандинская область,4,7,10,7,6,8,10
Кызылординская область,4,7,10,7,7,6,6
Актюбинская область,4,7,10,7,7,8,6
Атырауская область,4,7,10,7,7,8,7
Акмолинская область,4,7,10,7,7,8,8
Павлодарская область,4,7,10,7,7,89,6
Костанайская область,4,7,10,7,8,4,8
Павлодарская область,4,7,10,7,8,7,6
Ұлытау область,4,7,10,7,8,7,8
Туркестанская область,4,7,10,7,8,7,9
Актюбинская область,4,7,10,7,8,8,6
Костанайская область,4,7,10,7,8,8,8
г. Астана,4,7,10,7,8,8,10
Туркестанская область,4,7,10,7,8,9,4
Жамбылская область,4,7,10,7,8,9,5
Кызылординская область,4,7,10,7,8,9,6
Костанайская область,4,7,10,7,9,4,7
Восточно-Казахстанская область,4,7,10,7,9,7,7
Западно - Казахстанская область,4,7,10,7,9,7,7
Северо-Казахстанская область,4,7,10,7,9,7,7
Кызылординская область,4,7,10,7,9,10,8
Акмолинская область,4,7,10,7,9,89,6
г. Шымкент,4,7,10,7,10,5,10
Жамбылская область,4,7,10,7,10,7,6
Костанайская область,4,7,10,7,10,7,9
Алматинская область,4,7,10,7,10,89,9
Актюбинская область,4,7,10,8,4,9,4
Абайская область,4,7,10,8,5,89,8
Восточно-Казахстанская область,4,7,10,8,6,7,8
Карагандинская область,4,7,10,8,6,8,10
Жамбылская область,4,7,10,8,7,7,6
г. Шымкент,4,7,10,8,7,8,8
Акмолинская область,4,7,10,8,7,9,9
Карагандинская область,4,7,10,8,8,7,9
г. Шымкент,4,7,10,8,8,8,6
Карагандинская область,4,7,10,8,8,8,6
Актюбинская область,4,7,10,8,8,8,7
Северо-Казахстанская область,4,7,10,8,8,9,8
Западно - Казахстанская область,4,7,10,8,8,9,9
Жамбылская область,4,7,10,8,10,8,6
Алматинская область,4,7,10,8,10,8,89
Жамбылская область,4,7,10,9,3,7,8
Северо-Казахстанская область,4,7,10,9,7,6,8
Туркестанская область,4,7,10,9,7,7,8
Туркестанская область,4,7,10,9,7,8,10
Мангистауская область,4,7,10,9,7,10,10
Северо-Казахстанская область,4,7,10,9,8,5,6
Северо-Казахстанская область,4,7,10,9,8,9,4
Алматинская область,4,7,10,9,9,9,7
Алматинская область,4,7,10,9,9,10,5
Мангистауская область,4,7,10,9,10,8,9
Карагандинская область,4,7,10,9,10,9,4
Костанайская область,4,7,10,10,5,3,8
г. Алматы,4,7,10,10,5,5,6
Павлодарская область,4,7,10,10,5,9,4
Северо-Казахстанская область,4,7,10,10,6,3,10
Жамбылская область,4,7,10,10,6,7,5
Мангистауская область,4,7,10,10,6,10,7
Западно - Казахстанская область,4,7,10,10,6,89,5
Западно - Казахстанская область,4,7,10,10,6,89,6
Жетісу область,4,7,10,10,7,7,4
Жамбылская область,4,7,10,10,7,10,5
Актюбинская область,4,7,10,10,7,89,10
Актюбинская область,4,7,10,10,8,3,9
Туркестанская область,4,7,10,10,8,9,89
Северо-Казахстанская область,4,7,10,10,8,10,9
Мангистауская область,4,7,10,10,9,6,5
Восточно-Казахстанская область,4,7,10,10,9,7,6
Западно - Казахстанская область,4,7,10,10,10,6,5
Кызылординская область,4,7,10,10,10,10,9
Костанайская область,4,7,10,10,10,89,5
г. Алматы,4,7,10,10,10,89,6
Туркестанская область,4,7,89,4,5,9,89
Костанайская область,4,7,89,6,7,9,5
г. Алматы,4,7,89,7,7,9,7
Абайская область,4,7,89,7,7,10,6
Жетісу область,4,7,89,8,7,89,10
г. Алматы,4,7,89,10,7,89,6
Ұлытау область,4,8,1,7,5,9,8
Актюбинская область,4,8,1,7,8,8,7
Акмолинская область,4,8,1,7,9,10,7
Восточно-Казахстанская область,4,8,1,8,7,5,5
Актюбинская область,4,8,2,7,4,9,8
Атырауская область,4,8,2,8,8,8,8
Акмолинская область,4,8,2,9,5,8,5
Жамбылская область,4,8,3,6,7,4,7
Карагандинская область,4,8,3,7,4,5,6
Костанайская область,4,8,3,7,6,8,6
Павлодарская область,4,8,3,8,4,7,7
